const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,0.9198913247733123,RDS,[],25829-2.0,,,,,,,,Volume
0.0,0.23742600426535576,RDS,[],25830-2.0,,,,,,,,Volume
0.0,0.19555340349422579,RDS,[],25831-2.0,,,,,,,,Volume
0.0,0.9598636415265773,RDS,[],25832-2.0,,,,,,,,Volume
0.0,0.8959642947656559,RDS,[],25833-2.0,,,,,,,,Volume
0.0,0.00026107544831073087,RDS,[],25834-2.0,,,,,,,,Volume
0.0,6.3586539375039e-08,RDS,[],25835-2.0,,,,,,,,Volume
0.0,0.02422473563913451,RDS,[],25836-2.0,,,,,,,,Volume
0.0,0.0006194886757466164,RDS,[],25837-2.0,,,,,,,,Volume
0.0,0.02781086947783391,RDS,[],25838-2.0,,,,,,,,Volume
0.0,0.005059062316914122,RDS,[],25839-2.0,,,,,,,,Volume
0.0,0.0002674170150744804,RDS,[],25840-2.0,,,,,,,,Volume
0.0,0.00010628440457062017,RDS,[],25841-2.0,,,,,,,,Volume
0.0,0.48672906199690247,RDS,[],25842-2.0,,,,,,,,Volume
0.0,0.1950713044373873,RDS,[],25843-2.0,,,,,,,,Volume
0.0,0.009725022326266767,RDS,[],25844-2.0,,,,,,,,Volume
0.0,0.09892892005755423,RDS,[],25845-2.0,,,,,,,,Volume
0.0,0.6490563957184531,RDS,[],25846-2.0,,,,,,,,Volume
0.0,0.37177854845446723,RDS,[],25847-2.0,,,,,,,,Volume
0.0,0.002423286601210213,RDS,[],25848-2.0,,,,,,,,Volume
0.0,4.15680573347464e-05,RDS,[],25849-2.0,,,,,,,,Volume
0.0,0.3089622324247835,RDS,[],25850-2.0,,,,,,,,Volume
0.0,0.8016932420278166,RDS,[],25851-2.0,,,,,,,,Volume
0.0,0.051678795379719325,RDS,[],25852-2.0,,,,,,,,Volume
0.0,0.004980831115291946,RDS,[],25853-2.0,,,,,,,,Volume
0.0,0.031969675947594825,RDS,[],25854-2.0,,,,,,,,Volume
0.0,0.0004947630002866421,RDS,[],25855-2.0,,,,,,,,Volume
0.0,0.5993055990000383,RDS,[],25856-2.0,,,,,,,,Volume
0.0,0.2765123634261404,RDS,[],25857-2.0,,,,,,,,Volume
0.0,0.620517185815622,RDS,[],25858-2.0,,,,,,,,Volume
0.0,0.560548232418749,RDS,[],25859-2.0,,,,,,,,Volume
0.0,0.03108270676856819,RDS,[],25860-2.0,,,,,,,,Volume
0.0,0.0006365423087002348,RDS,[],25861-2.0,,,,,,,,Volume
0.0,0.0019928055240632076,RDS,[],25862-2.0,,,,,,,,Volume
0.0,0.019745254686497214,RDS,[],25863-2.0,,,,,,,,Volume
0.0,0.011901848690922133,RDS,[],25864-2.0,,,,,,,,Volume
0.0,0.16647890768169693,RDS,[],25865-2.0,,,,,,,,Volume
0.0,0.10612936715827997,RDS,[],25866-2.0,,,,,,,,Volume
0.0,0.37011874409106715,RDS,[],25867-2.0,,,,,,,,Volume
0.0,4.8008507462896334e-08,RDS,[],25868-2.0,,,,,,,,Volume
0.0,6.444617624875344e-06,RDS,[],25869-2.0,,,,,,,,Volume
0.0,0.0009698433036663609,RDS,[],25870-2.0,,,,,,,,Volume
0.0,0.000307272274849496,RDS,[],25871-2.0,,,,,,,,Volume
0.0,0.22524710347575727,RDS,[],25872-2.0,,,,,,,,Volume
0.0,0.9292871035564315,RDS,[],25873-2.0,,,,,,,,Volume
0.0,0.9914477665906898,RDS,[],25874-2.0,,,,,,,,Volume
0.0,0.9812649426640809,RDS,[],25875-2.0,,,,,,,,Volume
0.0,0.009887435829584514,RDS,[],25876-2.0,,,,,,,,Volume
0.0,0.19878969206408215,RDS,[],25877-2.0,,,,,,,,Volume
0.0,0.09015404219518136,RDS,[],25878-2.0,,,,,,,,Volume
0.0,1.728449056855649e-05,RDS,[],25879-2.0,,,,,,,,Volume
0.0,0.30573483850127936,RDS,[],25880-2.0,,,,,,,,Volume
