const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,3.635443903325601e-06,RDS,[],27084-2.0,,,,,,,,Thickness
0.0,0.9437543851950022,RDS,[],27085-2.0,,,,,,,,Thickness
0.0,0.4850843495576105,RDS,[],27086-2.0,,,,,,,,Thickness
0.0,1.4717990761868284e-23,RDS,[],27115-2.0,,,,,,,,Thickness
0.0,5.8473527269108984e-21,RDS,[],27116-2.0,,,,,,,,Thickness
0.0,9.74076492234736e-06,RDS,[],27117-2.0,,,,,,,,Thickness
0.0,8.838737468040778e-09,RDS,[],27118-2.0,,,,,,,,Thickness
0.0,8.63301949887375e-10,RDS,[],27119-2.0,,,,,,,,Thickness
0.0,0.47097657671305826,RDS,[],27120-2.0,,,,,,,,Thickness
0.0,4.6884006414492595e-14,RDS,[],27121-2.0,,,,,,,,Thickness
0.0,0.0013595423766769115,RDS,[],27122-2.0,,,,,,,,Thickness
0.0,9.67186762949447e-10,RDS,[],27123-2.0,,,,,,,,Thickness
0.0,0.11757625215053158,RDS,[],27124-2.0,,,,,,,,Thickness
0.0,1.505575389183325e-05,RDS,[],27125-2.0,,,,,,,,Thickness
0.0,2.207486307662719e-05,RDS,[],27126-2.0,,,,,,,,Thickness
0.0,0.24782223741836407,RDS,[],27127-2.0,,,,,,,,Thickness
0.0,0.48688499103631133,RDS,[],27128-2.0,,,,,,,,Thickness
0.0,0.13444775446203402,RDS,[],27174-2.0,,,,,,,,Thickness
0.0,9.744660634655167e-10,RDS,[],27175-2.0,,,,,,,,Thickness
0.0,0.00028530849201583954,RDS,[],27176-2.0,,,,,,,,Thickness
0.0,0.6773926947954086,RDS,[],27177-2.0,,,,,,,,Thickness
0.0,0.04869910915902499,RDS,[],27178-2.0,,,,,,,,Thickness
0.0,9.674766580649875e-17,RDS,[],27179-2.0,,,,,,,,Thickness
0.0,0.42019018639783234,RDS,[],27180-2.0,,,,,,,,Thickness
0.0,0.020763309729293182,RDS,[],27181-2.0,,,,,,,,Thickness
0.0,3.665511271844918e-09,RDS,[],27182-2.0,,,,,,,,Thickness
0.0,0.49357943618148714,RDS,[],27183-2.0,,,,,,,,Thickness
0.0,2.2834800972818428e-05,RDS,[],27184-2.0,,,,,,,,Thickness
0.0,0.007893815434877697,RDS,[],27185-2.0,,,,,,,,Thickness
0.0,0.5005681046336692,RDS,[],27186-2.0,,,,,,,,Thickness
0.0,0.8432482671577889,RDS,[],27187-2.0,,,,,,,,Thickness
0.0,5.854262836396327e-07,RDS,[],27188-2.0,,,,,,,,Thickness
0.0,0.0649971954438948,RDS,[],27189-2.0,,,,,,,,Thickness
0.0,0.00016785055886149643,RDS,[],27190-2.0,,,,,,,,Thickness
0.0,1.249517772458326e-06,RDS,[],27191-2.0,,,,,,,,Thickness
0.0,0.012239780683542634,RDS,[],27192-2.0,,,,,,,,Thickness
0.0,1.1767583284739157e-14,RDS,[],27193-2.0,,,,,,,,Thickness
0.0,0.3804842843218037,RDS,[],27194-2.0,,,,,,,,Thickness
0.0,4.4053973513494526e-07,RDS,[],27195-2.0,,,,,,,,Thickness
0.0,1.2540345816689588e-08,RDS,[],27196-2.0,,,,,,,,Thickness
0.0,0.4937577013269232,RDS,[],27197-2.0,,,,,,,,Thickness
0.0,7.872425647512042e-13,RDS,[],27198-2.0,,,,,,,,Thickness
0.0,4.3680145822192764e-16,RDS,[],27199-2.0,,,,,,,,Thickness
0.0,8.350189715445625e-18,RDS,[],27200-2.0,,,,,,,,Thickness
0.0,0.07135832396249438,RDS,[],27201-2.0,,,,,,,,Thickness
0.0,5.899383579109742e-12,RDS,[],27202-2.0,,,,,,,,Thickness
0.0,0.05388888691362785,RDS,[],27203-2.0,,,,,,,,Thickness
0.0,0.0017881197866130732,RDS,[],27204-2.0,,,,,,,,Thickness
0.0,0.473387914972047,RDS,[],27267-2.0,,,,,,,,Thickness
0.0,1.0741204424158475e-09,RDS,[],27268-2.0,,,,,,,,Thickness
0.0,0.026306985474734826,RDS,[],27269-2.0,,,,,,,,Thickness
0.0,0.30438143723257216,RDS,[],27270-2.0,,,,,,,,Thickness
0.0,2.167975265251982e-05,RDS,[],27271-2.0,,,,,,,,Thickness
0.0,9.412133266122411e-16,RDS,[],27272-2.0,,,,,,,,Thickness
0.0,0.0665877644622902,RDS,[],27273-2.0,,,,,,,,Thickness
0.0,8.553063020761198e-06,RDS,[],27274-2.0,,,,,,,,Thickness
0.0,5.409033362790521e-08,RDS,[],27275-2.0,,,,,,,,Thickness
0.0,0.3100952808309426,RDS,[],27276-2.0,,,,,,,,Thickness
0.0,0.00033120044347490456,RDS,[],27277-2.0,,,,,,,,Thickness
0.0,0.37731720688412695,RDS,[],27278-2.0,,,,,,,,Thickness
0.0,0.04518652767812726,RDS,[],27279-2.0,,,,,,,,Thickness
0.0,0.631128745755634,RDS,[],27280-2.0,,,,,,,,Thickness
0.0,4.282908440223804e-08,RDS,[],27281-2.0,,,,,,,,Thickness
0.0,0.003859265623977605,RDS,[],27282-2.0,,,,,,,,Thickness
0.0,2.253884534791627e-06,RDS,[],27283-2.0,,,,,,,,Thickness
0.0,1.1495167737569311e-08,RDS,[],27284-2.0,,,,,,,,Thickness
0.0,0.07312343423840946,RDS,[],27285-2.0,,,,,,,,Thickness
0.0,1.0761104624589901e-18,RDS,[],27286-2.0,,,,,,,,Thickness
0.0,0.00035282171077449066,RDS,[],27287-2.0,,,,,,,,Thickness
0.0,1.546285044259054e-08,RDS,[],27288-2.0,,,,,,,,Thickness
0.0,1.7094632218614295e-12,RDS,[],27289-2.0,,,,,,,,Thickness
0.0,0.00662010736551955,RDS,[],27290-2.0,,,,,,,,Thickness
0.0,1.591518710186201e-11,RDS,[],27291-2.0,,,,,,,,Thickness
0.0,2.2472856774986632e-17,RDS,[],27292-2.0,,,,,,,,Thickness
0.0,4.845914736017662e-25,RDS,[],27293-2.0,,,,,,,,Thickness
0.0,3.349577703496196e-05,RDS,[],27294-2.0,,,,,,,,Thickness
0.0,5.07405673172376e-10,RDS,[],27295-2.0,,,,,,,,Thickness
0.0,0.1916074304792157,RDS,[],27296-2.0,,,,,,,,Thickness
0.0,0.2878564379491606,RDS,[],27297-2.0,,,,,,,,Thickness
0.0,0.01273317496726441,RDS,[],27403-2.0,,,,,,,,Thickness
0.0,0.0013473796866207734,RDS,[],27404-2.0,,,,,,,,Thickness
0.0,2.8061797828410012e-09,RDS,[],27405-2.0,,,,,,,,Thickness
0.0,0.0008655593456341166,RDS,[],27406-2.0,,,,,,,,Thickness
