const,P-value for x,x,covars,y,site5,site6,26521-2.0,31-0.0,21003-2.0,24419-2.0,25741-2.0,IDP type
0.0,0.00026934175488778947,RDS,[],26932-2.0,,,,,,,,Area
0.0,0.0003465600274795116,RDS,[],26933-2.0,,,,,,,,Area
0.0,0.01094079412164835,RDS,[],26934-2.0,,,,,,,,Area
0.0,0.13034684840371494,RDS,[],26935-2.0,,,,,,,,Area
0.0,2.182507701158502e-06,RDS,[],26936-2.0,,,,,,,,Area
0.0,0.004990047692894021,RDS,[],26937-2.0,,,,,,,,Area
0.0,0.10936371383979045,RDS,[],26938-2.0,,,,,,,,Area
0.0,3.9267097232231716e-08,RDS,[],26939-2.0,,,,,,,,Area
0.0,0.9278599634322239,RDS,[],26940-2.0,,,,,,,,Area
0.0,0.8682955078192106,RDS,[],26941-2.0,,,,,,,,Area
0.0,0.43320749110045675,RDS,[],26942-2.0,,,,,,,,Area
0.0,1.3790560988995984e-06,RDS,[],26943-2.0,,,,,,,,Area
0.0,1.3065911079634317e-11,RDS,[],26944-2.0,,,,,,,,Area
0.0,0.009882932999247203,RDS,[],26945-2.0,,,,,,,,Area
0.0,9.191959931395454e-11,RDS,[],26946-2.0,,,,,,,,Area
0.0,0.00016765884437114565,RDS,[],26947-2.0,,,,,,,,Area
0.0,0.010846503993344813,RDS,[],26948-2.0,,,,,,,,Area
0.0,0.00967988937349833,RDS,[],26949-2.0,,,,,,,,Area
0.0,2.0440610782081174e-06,RDS,[],26950-2.0,,,,,,,,Area
0.0,4.2977705231023696e-07,RDS,[],26951-2.0,,,,,,,,Area
0.0,0.0010830521682451929,RDS,[],26952-2.0,,,,,,,,Area
0.0,8.320819183725532e-11,RDS,[],26953-2.0,,,,,,,,Area
0.0,0.0400251005661228,RDS,[],26954-2.0,,,,,,,,Area
0.0,0.8734758945150103,RDS,[],26955-2.0,,,,,,,,Area
0.0,5.836635592711041e-09,RDS,[],26956-2.0,,,,,,,,Area
0.0,0.0006254107844795941,RDS,[],26957-2.0,,,,,,,,Area
0.0,0.8624144625486454,RDS,[],26958-2.0,,,,,,,,Area
0.0,0.0011544886166946731,RDS,[],26959-2.0,,,,,,,,Area
0.0,2.8838051947108947e-06,RDS,[],26960-2.0,,,,,,,,Area
0.0,2.3793086883156647e-08,RDS,[],26961-2.0,,,,,,,,Area
0.0,0.0017053184253725893,RDS,[],26962-2.0,,,,,,,,Area
0.0,1.8581982672814335e-08,RDS,[],26963-2.0,,,,,,,,Area
0.0,0.00016285433849404238,RDS,[],26964-2.0,,,,,,,,Area
0.0,1.6194811077516562e-05,RDS,[],26965-2.0,,,,,,,,Area
0.0,0.000770442110666568,RDS,[],26966-2.0,,,,,,,,Area
0.0,0.006499518054731986,RDS,[],26967-2.0,,,,,,,,Area
0.0,0.07522643282229408,RDS,[],26968-2.0,,,,,,,,Area
0.0,4.237253269479655e-05,RDS,[],26969-2.0,,,,,,,,Area
0.0,0.04362885018636885,RDS,[],26970-2.0,,,,,,,,Area
0.0,0.6552680136529796,RDS,[],26971-2.0,,,,,,,,Area
0.0,2.475074065168451e-08,RDS,[],26972-2.0,,,,,,,,Area
0.0,0.807689358414431,RDS,[],26973-2.0,,,,,,,,Area
0.0,0.8562075826793754,RDS,[],26974-2.0,,,,,,,,Area
0.0,0.8580574904006603,RDS,[],26975-2.0,,,,,,,,Area
0.0,5.2739001442811654e-09,RDS,[],26976-2.0,,,,,,,,Area
0.0,7.103310118757406e-11,RDS,[],26977-2.0,,,,,,,,Area
0.0,0.0015807305904845163,RDS,[],26978-2.0,,,,,,,,Area
0.0,5.237270185251867e-09,RDS,[],26979-2.0,,,,,,,,Area
0.0,0.0001265755065390017,RDS,[],26980-2.0,,,,,,,,Area
0.0,0.18628717762003333,RDS,[],26981-2.0,,,,,,,,Area
0.0,0.0002215699738275378,RDS,[],26982-2.0,,,,,,,,Area
0.0,1.240598823966263e-06,RDS,[],26983-2.0,,,,,,,,Area
0.0,7.414287339425156e-08,RDS,[],26984-2.0,,,,,,,,Area
0.0,0.0040356366057739575,RDS,[],26985-2.0,,,,,,,,Area
0.0,1.7884806638569872e-10,RDS,[],26986-2.0,,,,,,,,Area
0.0,0.10409791918844283,RDS,[],26987-2.0,,,,,,,,Area
0.0,0.1558200129101327,RDS,[],26988-2.0,,,,,,,,Area
0.0,1.0108002198516792e-11,RDS,[],27059-2.0,,,,,,,,Area
0.0,2.6411611056591084e-12,RDS,[],27060-2.0,,,,,,,,Area
0.0,5.109594279077478e-22,RDS,[],27061-2.0,,,,,,,,Area
0.0,6.586646960423163e-17,RDS,[],27062-2.0,,,,,,,,Area
0.0,9.630586931581521e-14,RDS,[],27063-2.0,,,,,,,,Area
0.0,4.73222929496142e-15,RDS,[],27064-2.0,,,,,,,,Area
0.0,2.6292151321739086e-08,RDS,[],27065-2.0,,,,,,,,Area
0.0,0.05488034528186457,RDS,[],27066-2.0,,,,,,,,Area
0.0,0.5533024329078906,RDS,[],27067-2.0,,,,,,,,Area
0.0,0.0005617637001196814,RDS,[],27068-2.0,,,,,,,,Area
0.0,3.7521944456032846e-05,RDS,[],27069-2.0,,,,,,,,Area
